Number,Character
400,"SUPPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 1, SUPPLY 1, SUPPLY 1, TEMPLE 1, U_SPLY 1, SUPPLY 1, U_BASE 2, "
365,"SUPPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 2, SUPPLY 1, SUPPLY 2, TEMPLE 1, U_SPLY 1, U_SPLY 2, U_SPLY 2, U_SPLY 2, U_SPLY 1, U_BASE 1, U_SPLY 1, U_SPLY 1, "
438,"U_BASE 2, SUPPLY 1, TEMPLE 2, SUPPLY 2, U_BASE 2, SUPPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 2, SUPPLY 1, "
453,"SUPPLY 1, TEMPLE 1, SUPPLY 1, U_BASE 1, U_SPLY 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, U_BASE 2, U_BASE 2, U_SPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 2, U_SPLY 2, SUPPLY 2, SUPPLY 2, "
387,"SUPPLY 1, TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 1, U_SPLY 2, SUPPLY 1, "
396,"TEMPLE 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, "
492,"TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 1, U_SPLY 1, SUPPLY 2, SUPPLY 1, U_SPLY 1, SUPPLY 2, SUPPLY 2, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 2, U_SPLY 1, U_BASE 1, SUPPLY 1, "
500,"TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, U_SPLY 1, U_SPLY 1, SUPPLY 2, U_SPLY 1, SUPPLY 2, SUPPLY 2, U_BASE 2, U_BASE 2, SUPPLY 2, "
385,"TEMPLE 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, U_SPLY 1, U_BASE 1, "
485,"U_BASE 2, SUPPLY 2, SUPPLY 2, U_BASE 2, SUPPLY 2, TEMPLE 1, SUPPLY 2, SUPPLY 1, SUPPLY 1, U_BASE 1, U_BASE 2, SUPPLY 2, U_SPLY 1, U_SPLY 1, SUPPLY 2, SUPPLY 2, SUPPLY 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, "
490,"SUPPLY 1, TEMPLE 1, U_BASE 1, U_SPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 2, U_SPLY 2, U_BASE 2, "
,"TEMPLE 1, "
,"TEMPLE 1, "
563,"TEMPLE 1, SUPPLY 1, U_BASE 1, U_SPLY 1, U_BASE 2, SUPPLY 1, U_SPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, "
492,"U_BASE 1, SUPPLY 1, TEMPLE 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, U_BASE 2, U_SPLY 1, SUPPLY 1, "
461,"U_BASE 2, SUPPLY 2, U_BASE 1, SUPPLY 1, SUPPLY 2, SUPPLY 1, TEMPLE 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 2, U_SPLY 2, "
458,"U_BASE 2, SUPPLY 1, SUPPLY 2, SUPPLY 2, SUPPLY 2, U_BASE 2, TEMPLE 1, U_BASE 2, U_SPLY 1, U_BASE 1, "
381,"TEMPLE 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 1, SUPPLY 2, U_SPLY 1, "
507,"SUPPLY 1, TEMPLE 1, U_BASE 2, U_SPLY 1, SUPPLY 1, SUPPLY 2, U_SPLY 2, U_BASE 2, U_SPLY 1, SUPPLY 2, U_BASE 2, SUPPLY 2, SUPPLY 1, U_SPLY 1, "
536,"TEMPLE 1, SUPPLY 1, U_BASE 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, U_BASE 2, U_BASE 2, U_SPLY 1, U_BASE 2, SUPPLY 1, U_SPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 2, "
400,"SUPPLY 1, SUPPLY 1, SUPPLY 1, TEMPLE 1, U_SPLY 1, U_SPLY 1, U_SPLY 1, SUPPLY 1, U_BASE 1, U_SPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 2, U_SPLY 2, SUPPLY 1, SUPPLY 2, U_SPLY 2, "
